Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
660333,Landing Page Submission,Organic Search,No,No,1,4,16,2,Page Visited on Website,India,E-COMMERCE,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,02.Medium,01.High,15,17,No,Yes,Modified
660321,API,Referral Sites,No,No,1,3,98,3,Email Opened,India,Human Resource Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,14,15,No,No,Modified
660312,Landing Page Submission,Google,No,No,0,4,1622,4,Unreachable,India,Operations Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,,Mumbai,03.Low,01.High,12,18,No,No,Modified
660267,Landing Page Submission,Google,No,No,1,5,563,5,Email Opened,India,Finance Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,13,20,No,No,Email Opened
660255,API,Google,No,No,0,2,310,2,Email Link Clicked,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,,02.Medium,02.Medium,14,15,No,No,Email Link Clicked
660236,Landing Page Submission,Google,No,No,1,4,25,4,Email Opened,India,Operations Management,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,02.Medium,01.High,14,19,No,No,Email Opened
660235,API,Direct Traffic,No,No,0,3,342,3,Email Opened,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,,,02.Medium,02.Medium,14,15,No,No,Email Opened
660222,Landing Page Submission,Organic Search,Yes,No,0,7,38,7,Unsubscribed,India,Retail Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Mumbai,02.Medium,01.High,13,18,No,Yes,Unsubscribed
660215,API,Google,No,No,0,5,199,5,Email Opened,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,,02.Medium,02.Medium,14,15,No,No,Email Opened
660203,Landing Page Submission,Google,No,No,0,5,222,5,Email Opened,India,Finance Management,Online Search,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,Mumbai,02.Medium,01.High,13,18,No,No,Email Opened
660194,Landing Page Submission,Direct Traffic,No,No,0,6,275,3,Email Opened,India,Operations Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,in touch with EINS,Not Sure,No,No,,Mumbai,03.Low,01.High,10,18,No,Yes,Email Opened
660180,Landing Page Submission,Google,No,No,0,4,287,2,Email Opened,India,Marketing Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,,Mumbai,02.Medium,01.High,13,18,No,No,Email Opened
660174,Landing Page Submission,Direct Traffic,No,No,0,2,547,2,Email Opened,India,Finance Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15,20,No,Yes,Email Opened
660153,API,Olark Chat,No,No,0,0,0,0,Olark Chat Conversation,India,Others,,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,01.High,02.Medium,17,15,No,No,Modified
660149,API,Google,No,No,0,6,1225,6,Page Visited on Website,India,Supply Chain Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Worst,No,No,Other Leads,Thane & Outskirts,03.Low,02.Medium,12,15,No,No,Modified
660128,API,Olark Chat,No,No,0,0,0,0,Olark Chat Conversation,India,Others,,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,01.High,02.Medium,17,15,No,No,Modified
660087,API,Olark Chat,No,No,1,0,0,0,Email Opened,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,15,16,No,No,Modified
660070,Landing Page Submission,Google,No,No,0,5,160,5,Email Opened,India,Business Administration,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Not Sure,No,No,,Mumbai,01.High,01.High,17,18,No,No,Email Opened
660069,Landing Page Submission,Organic Search,No,No,0,6,394,2,Unreachable,India,E-COMMERCE,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,,Mumbai,02.Medium,02.Medium,13,15,No,Yes,Modified
660050,API,Google,No,No,0,6,286,1.5,Olark Chat Conversation,India,Others,,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,01.High,02.Medium,16,15,No,No,Modified
660048,API,Organic Search,No,No,0,7,96,2.33,Email Opened,India,Others,,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,02.Medium,02.Medium,13,15,No,No,Email Opened
660030,API,Organic Search,No,No,0,2,12,2,Email Opened,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,,,02.Medium,02.Medium,15,15,No,No,Email Opened
659998,Landing Page Submission,Referral Sites,No,No,1,13,436,13,Form Submitted on Website,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Low in Relevance,No,No,Potential Lead,Other Metro Cities,02.Medium,02.Medium,15,13,No,No,Modified
659963,API,Referral Sites,No,No,1,8,903,8,Page Visited on Website,India,Finance Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,01.High,02.Medium,16,15,No,No,Page Visited on Website
659942,Landing Page Submission,Organic Search,No,No,0,17,409,8.5,Email Opened,India,Human Resource Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,,Mumbai,02.Medium,01.High,14,18,No,Yes,Modified
659937,Landing Page Submission,Referral Sites,No,No,0,11,685,5.5,Email Opened,India,Services Excellence,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Not Sure,No,No,,Thane & Outskirts,03.Low,02.Medium,11,13,No,Yes,Email Opened
659931,API,Google,No,No,0,4,213,4,Form Submitted on Website,India,International Business,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Other Leads,Mumbai,02.Medium,02.Medium,13,16,No,No,Modified
659925,API,Olark Chat,No,No,0,0,0,0,Email Opened,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,,02.Medium,02.Medium,14,15,No,No,Email Opened
659918,API,Organic Search,No,No,1,7,1468,3.5,Page Visited on Website,India,Marketing Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15,18,No,No,Modified
659896,API,Olark Chat,No,No,0,0,0,0,Email Link Clicked,India,Others,,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,02.Medium,02.Medium,15,15,No,No,Modified
659889,Landing Page Submission,Direct Traffic,No,No,1,4,1435,4,Email Opened,India,Operations Management,,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,03.Low,01.High,12,18,No,Yes,Email Opened
659875,Landing Page Submission,Google,No,No,1,1,157,1,Converted to Lead,India,Hospitality Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,Other Cities of Maharashtra,02.Medium,02.Medium,15,14,No,No,Modified
659853,API,Google,No,No,1,3,885,1.5,Had a Phone Conversation,India,Operations Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15,18,No,No,Had a Phone Conversation
659849,API,Olark Chat,No,No,1,0,0,0,Email Opened,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,02.Medium,02.Medium,15,16,No,No,Modified
659833,API,Olark Chat,No,No,0,0,0,0,View in browser link Clicked,India,Finance Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Other Leads,,03.Low,02.Medium,12,14,No,No,Modified
659830,API,Olark Chat,No,No,0,0,0,0,Olark Chat Conversation,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,,02.Medium,02.Medium,15,15,No,No,Modified
659819,Landing Page Submission,Direct Traffic,No,No,0,1,1710,1,Converted to Lead,India,Retail Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Potential Lead,Thane & Outskirts,01.High,01.High,16,19,No,Yes,Modified
659820,Landing Page Submission,Direct Traffic,No,No,0,4,219,4,Email Opened,India,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,Mumbai,02.Medium,01.High,13,18,No,No,Email Opened
659806,Landing Page Submission,Referral Sites,Yes,No,0,3,111,3,Email Bounced,India,International Business,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,Other Metro Cities,02.Medium,02.Medium,13,15,No,Yes,Modified
659784,API,Organic Search,No,No,0,6,224,6,Page Visited on Website,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,,,02.Medium,02.Medium,14,15,No,No,Modified
659782,Landing Page Submission,Direct Traffic,No,No,0,5,224,1.67,Page Visited on Website,India,Operations Management,,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,Other Cities of Maharashtra,02.Medium,01.High,13,17,No,Yes,Page Visited on Website
659779,Landing Page Submission,Direct Traffic,No,No,1,2,1071,2,Email Opened,India,Marketing Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Not Sure,No,No,,Other Cities of Maharashtra,03.Low,01.High,12,17,No,Yes,Email Opened
659727,Landing Page Submission,Google,No,No,1,6,595,3,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14,20,No,No,Email Opened
659722,Lead Add Form,Welingak Website,No,No,1,,1096,,,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,02.Medium,02.Medium,14,15,No,No,Modified
659720,API,Referral Sites,No,No,0,4,520,4,Email Opened,India,Operations Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,in touch with EINS,Not Sure,No,No,,Mumbai,03.Low,02.Medium,10,15,No,No,Email Opened
659710,Lead Add Form,Reference,No,No,1,,705,,,India,Hospitality Management,,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,14,16,No,No,Modified
659708,API,Google,No,No,0,2,393,2,Email Opened,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,,02.Medium,02.Medium,14,14,No,No,Email Opened
659705,Lead Add Form,Welingak Website,No,No,1,,346,,,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,02.Medium,02.Medium,14,15,No,No,Modified
659704,API,Olark Chat,No,No,1,0,0,0,Email Link Clicked,India,Operations Management,,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,,02.Medium,02.Medium,15,16,No,No,Email Link Clicked
659700,API,Olark Chat,No,No,0,0,0,0,Olark Chat Conversation,India,Others,,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,01.High,02.Medium,17,15,No,No,Modified
659696,Landing Page Submission,Google,No,No,1,3,1136,3,Page Visited on Website,India,IT Projects Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,Mumbai,01.High,02.Medium,16,15,No,No,Modified
659685,API,Referral Sites,No,No,0,3,335,3,Email Opened,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,,02.Medium,02.Medium,14,13,No,No,Modified
659676,API,Referral Sites,No,No,0,4,75,4,Email Opened,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,,02.Medium,02.Medium,14,13,No,No,Email Opened
659644,Landing Page Submission,Direct Traffic,No,No,0,6,97,3,Email Opened,Kuwait,Supply Chain Management,,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,Mumbai,02.Medium,01.High,15,18,No,Yes,Email Opened
659631,Lead Add Form,Reference,No,No,1,,1007,,,India,Human Resource Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Lateral Student,Mumbai,02.Medium,01.High,14,20,No,No,Modified
659630,Landing Page Submission,Organic Search,No,No,0,2,1085,2,Converted to Lead,India,Rural and Agribusiness,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,,Other Cities of Maharashtra,02.Medium,02.Medium,13,14,No,Yes,Modified
659614,API,Organic Search,No,No,0,3,214,3,Page Visited on Website,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,,,02.Medium,02.Medium,15,15,No,No,Modified
659607,API,Olark Chat,No,No,1,6,1158,1.5,Email Opened,India,Business Administration,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,Other Cities,02.Medium,02.Medium,15,14,No,Yes,Email Opened
659600,Landing Page Submission,Google,No,No,0,4,101,4,Email Opened,India,Finance Management,Other,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,Mumbai,02.Medium,01.High,15,18,No,No,Email Opened
659582,Landing Page Submission,Google,No,No,0,9,838,4.5,Email Opened,India,Healthcare Management,Word Of Mouth,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,Mumbai,02.Medium,02.Medium,13,15,No,No,Email Opened
659567,Landing Page Submission,Direct Traffic,No,No,0,3,536,3,Unreachable,India,Finance Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,number not provided,Not Sure,No,No,,Mumbai,03.Low,01.High,9,18,No,Yes,Modified
659562,Landing Page Submission,Direct Traffic,No,No,0,4,161,2,Unreachable,India,Marketing Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,,,03.Low,01.High,12,17,No,No,Unreachable
659555,Landing Page Submission,Google,No,No,0,2,511,2,Form Submitted on Website,India,Healthcare Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Not Sure,No,No,,Mumbai,03.Low,02.Medium,9,15,No,No,Modified
659545,API,Olark Chat,No,No,0,0,0,0,Olark Chat Conversation,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,opp hangup,Not Sure,No,No,,,02.Medium,02.Medium,15,15,No,No,Modified
659523,API,Google,No,No,1,5,1110,5,Olark Chat Conversation,India,Human Resource Management,,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,,01.High,02.Medium,16,16,No,No,Modified
659507,Landing Page Submission,Direct Traffic,No,No,1,5,1563,5,Email Opened,India,Finance Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15,20,No,Yes,Email Opened
659492,API,Referral Sites,No,No,0,7,1633,3.5,Converted to Lead,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,,02.Medium,02.Medium,14,13,No,No,Modified
659480,API,Olark Chat,No,No,1,0,0,0,Email Opened,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,02.Medium,02.Medium,15,15,No,No,Modified
659474,Landing Page Submission,Google,No,No,0,12,809,4,Unreachable,India,Finance Management,Online Search,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,Mumbai,02.Medium,01.High,13,18,No,No,Modified
659469,Landing Page Submission,Direct Traffic,No,No,0,2,638,2,Page Visited on Website,Oman,Healthcare Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,,Mumbai,02.Medium,02.Medium,14,15,No,Yes,Modified
659463,API,Google,No,No,1,5,1196,5,Page Visited on Website,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,02.Medium,02.Medium,15,15,No,No,Modified
659447,Landing Page Submission,Organic Search,No,No,0,6,1485,6,Email Opened,India,Supply Chain Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,Other Cities,02.Medium,02.Medium,14,16,No,Yes,Email Opened
659438,API,Google,No,No,0,9,125,3,Page Visited on Website,India,Others,,Unemployed,,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,,,02.Medium,02.Medium,14,15,No,No,Modified
